,securityId,name,isin,issuerCode,sedol,cusip,cusip9,fsymId,activeFlag,factsetEntityId,fsUltimateParentEntityId,fsParentEntityId,fsParentParentEntityId,factsetUniverseType,factsetEntityName,factsetCompanyId,factsetCompanyCurrency
34,66812789,CABLEVISION LIGHTPATH 144A W/O RTS 5.625 USD 09/15/2028,US12687GAB59,CVLGHT,BMG5F0,12687GAB,12687GAB5,Q9LKKP-S,True,0MTW23-E,0GD3XW-E,0MXN0L-E,0GD3XW-E,FI,Cablevision Lightpath,X6B73L-R,USD
35,66782068,BWX TECHNOLOGIES INC 144A W/O RTS 4.125 USD 06/30/2028,US05605HAB69,BWXT,BMQ52P,05605HAB,05605HAB6,GVSP2J-S,True,0656DF-E,0656DF-E,,,FI,BWX Technologies,K3DD15-R,USD
36,67932316,GROUP 1 AUTOMOTIVE INC 144A W/O RTS 6.375 USD 01/15/2030,US398905AQ20,GPI,BQ2JQ0,398905AQ,398905AQ2,F3F7NZ-S,True,001Q63-E,001Q63-E,,,FI,Group 1 Automotive,PRN7RS-R,USD
37,68122776,NRG ENERGY INC 144A W/O RTS 5.75 USD 07/15/2029,US629377CY66,NRG,BMWG8B,629377CY,629377CY6,V8S4YY-S,True,0013YQ-E,0013YQ-E,,,FI,NRG Energy,M3T4YS-R,USD
38,66832226,FRONTIER COMMUNICATIONS 144A W/O RTS 6.75 USD 05/01/2029,US35906ABG22,FYBR,BMF4PV,35906ABG,35906ABG2,NFDWDV-S,True,000DSS-E,0NSRPW-E,0NSRPW-E,,FI,Frontier Communications,W2Z9NS-R,USD
39,67294879,VISTRA OPERATIONS CO LLC 144A W/O RTS 7.75 USD 10/15/2031,US92840VAP76,VST,BNQQSS,92840VAP,92840VAP7,PL2G4L-S,True,0GKXP4-E,0GL3K3-E,0GL3K3-E,,FI,Vistra Operations,KZNLFS-R,USD
40,46062620,MOOG INC 144A W/O RTS 4.25 USD 12/15/2027,US615394AM52,MOGA,BKQNVK,615394AM,615394AM5,NY3YVG-S,True,000Q68-E,000Q68-E,,,FI,Moog,D9P31D-R,USD
41,66895199,VISTRA OPERATIONS CO LLC 144A W/O RTS 4.375 USD 05/01/2029,US92840VAH50,VST,BN0ZRZ,92840VAH,92840VAH5,PN82D9-S,True,0GKXP4-E,0GL3K3-E,0GL3K3-E,,FI,Vistra Operations,KZNLFS-R,USD
42,66878811,TEMPUR SEALY INTL INC 144A W/O RTS 4 USD 04/15/2029,US88023UAH41,TPX,BNNLLH,88023UAH,88023UAH4,LDSLBD-S,True,004ZZ8-E,004ZZ8-E,,,FI,Tempur Sealy Intl,P224MV-R,USD
43,46011926,FAIR ISAAC CORP 144A W/O RTS 4 USD 06/15/2028,US303250AF16,FAIRIC,BKV319,303250AF,303250AF1,HXKKFR-S,True,000JFV-E,000JFV-E,,,FI,FICO ISSAC,K38W6R-R,USD
44,30765436,HUGHES SATELLITE SYSTEMS 5.25 USD 08/01/2026,US444454AD48,SATS,BZ1232,444454AD,444454AD4,R81PR9-S,True,0BS645-E,009RJM-E,009RJM-E,,FI,Hughes Satellite Systems,PM3F9R-R,USD
45,66841425,NCL CORPORATION LTD 144A W/O RTS 5.875 USD 03/15/2026,US62886HBA86,NCLH,BMB5SR0,62886HBA,62886HBA8,RNK46D-S,True,060T3T-E,0BYLG7-E,0BYLG7-E,,FI,NCL Corp,W0731Q-R,USD
